Zonal winds (U), betab (β_b), and betae (β_e) 
Latitude is planetocentric and pressure unit is mbar
Unit of zonal winds (U) is m/s; Unit of betab and betae is 1e-12 1/(s*m) 
Meridional profile of zonal winds (U) is saved first
Then data of betab and betae is saved in each pressure level with varying latitude  

zonal winds (U) at 500 mbar
latitude    U
  387.57  -40.00      1.189     3.057
  387.57  -39.00      1.156     0.487
  387.57  -38.00     -0.967    -4.365
  387.57  -37.00      0.017    -5.037
  387.57  -36.00     -0.612    -5.729
  387.57  -35.00     -0.743    -4.665
  387.57  -34.00     -1.075    -3.416
  387.57  -33.00      0.841    -0.223
  387.57  -32.00      3.325     3.538
  387.57  -31.00      6.564     7.171
  387.57  -30.00      8.592     8.530
  387.57  -29.00      7.165     6.567
  387.57  -28.00      9.671     8.459
  387.57  -27.00      7.522     5.600
  387.57  -26.00      0.867    -1.734
  387.57  -25.00     -0.207    -2.757
  387.57  -24.00      2.218     0.741
  387.57  -23.00      3.692     3.145
  387.57  -22.00      4.622     4.738
  387.57  -21.00      3.510     4.491
  387.57  -20.00      3.878     5.395
  387.57  -19.00      3.367     5.299
  387.57  -18.00      5.635     8.199
  387.57  -17.00      5.150     8.615
  387.57  -16.00      6.924    10.613
  387.57  -15.00      3.709     7.442
  387.57  -14.00      4.295     8.239
  387.57  -13.00      4.522     8.475
  387.57  -12.00      7.413    10.501
  387.57  -11.00      9.780    11.303
  387.57  -10.00     10.178     9.765
  387.57   -9.00      9.763     7.484
  387.57   -8.00     10.466     6.705
  387.57   -7.00      8.663     3.576
  387.57   -6.00      8.014     1.409
  387.57   -5.00      4.091    -3.819
  387.57   -4.00      0.655    -6.963
  387.57   -3.00      1.026    -4.375
  387.57   -2.00      2.896     0.383
  387.57   -1.00      7.090     6.544
  387.57    0.00     13.250    14.012
  387.57    1.00      9.110     8.670
  387.57    2.00     -2.022    -3.793
  387.57    3.00      1.497    -1.914
  387.57    4.00      4.432     0.319
  387.57    5.00      5.295     0.925
  387.57    6.00      8.063     4.171
  387.57    7.00     11.048     7.613
  387.57    8.00     10.689     7.952
  387.57    9.00      8.744     6.851
  387.57   10.00      8.950     8.406
  387.57   11.00      9.189    10.980
  387.57   12.00      6.105    10.527
  387.57   13.00      8.188    13.888
  387.57   14.00      5.544    11.962
  387.57   15.00      1.197     7.507
  387.57   16.00      5.003    10.473
  387.57   17.00      3.634     8.808
  387.57   18.00      5.463     9.819
