betae (β_e) in 2009 and 2011 
Latitude is planetocentric and pressure unit is mbar
Unit of betae is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  betae(2009)  betae(2011)  
  387.57  -85.00    -27.244   -15.351
  387.57  -84.00    -14.974    -2.492
  387.57  -83.00    -15.060    -8.004
  387.57  -82.00     -7.628    -4.878
  387.57  -81.00     -1.892    -1.309
  387.57  -80.00      0.827     0.034
  387.57  -79.00      5.437     3.206
  387.57  -78.00      8.211     5.643
  387.57  -77.00      9.624     6.475
  387.57  -76.00      7.078     3.304
  387.57  -75.00      2.982    -1.436
  387.57  -74.00     -0.481    -1.880
  387.57  -73.00      0.577     4.017
  387.57  -72.00      4.041    10.544
  387.57  -71.00     13.321    20.520
  387.57  -70.00     18.276    23.707
  387.57  -69.00      7.874    10.821
  387.57  -68.00      3.904     5.589
  387.57  -67.00      4.164     5.689
  387.57  -66.00     -1.163     1.536
  387.57  -65.00     -0.527     4.922
  387.57  -64.00     -0.618     6.740
  387.57  -63.00      1.835     8.406
  387.57  -62.00      4.599     8.761
  387.57  -61.00      3.570     6.920
  387.57  -60.00      1.777     5.341
  387.57  -59.00      2.562     6.862
  387.57  -58.00      3.592     9.277
  387.57  -57.00     10.992    17.252
  387.57  -56.00     22.119    27.173
  387.57  -55.00     15.401    18.566
  387.57  -54.00      7.650     8.022
  387.57  -53.00      8.908     5.540
  387.57  -52.00      6.612     2.055
  387.57  -51.00      5.144     1.885
  387.57  -50.00      4.738     3.295
  387.57  -49.00      4.455     6.626
  387.57  -48.00      4.254    10.496
  387.57  -47.00      4.303    12.120
  387.57  -46.00      6.489    12.957
  387.57  -45.00      9.944    14.429
  387.57  -44.00     13.187    15.978
  387.57  -43.00     14.506    14.717
  387.57  -42.00     12.173     9.574
  387.57  -41.00      5.384     1.046
  387.57  -40.00     -1.690    -6.720
  387.57  -39.00     -1.077    -4.699
  387.57  -38.00     -3.440    -3.469
  387.57  -37.00     -3.414    -0.231
  387.57  -36.00     -4.512     0.253
  387.57  -35.00     -4.191     0.420
  387.57  -34.00     -2.911    -0.339
  387.57  -33.00      1.414     0.981
  387.57  -32.00      5.865     3.458
  387.57  -31.00      9.357     6.608
  387.57  -30.00     10.220     8.133
  387.57  -29.00      7.341     6.845
  387.57  -28.00      7.773     8.844
  387.57  -27.00      4.268     5.907
  387.57  -26.00     -2.022    -0.305
  387.57  -25.00     -1.930    -0.640
  387.57  -24.00      1.748     2.190
  387.57  -23.00      4.174     4.213
  387.57  -22.00      5.526     5.885
  387.57  -21.00      4.395     5.475
  387.57  -20.00      4.711     6.220
  387.57  -19.00      4.772     5.941
  387.57  -18.00      7.592     7.907
  387.57  -17.00      7.504     6.723
  387.57  -16.00      9.615     8.123
  387.57  -15.00      6.806     5.313
  387.57  -14.00      7.210     5.894
  387.57  -13.00      6.895     6.189
  387.57  -12.00      8.710     9.028
  387.57  -11.00      9.551    10.501
  387.57  -10.00      8.589     9.736
  387.57   -9.00      7.256     8.062
  387.57   -8.00      7.310     7.000
  387.57   -7.00      4.862     4.041
  387.57   -6.00      3.505     2.898
  387.57   -5.00      0.537     0.449
  387.57   -4.00     -2.010    -2.017
  387.57   -3.00     -3.141    -3.461
  387.57   -2.00      0.812     0.233
  387.57   -1.00      4.424     3.358
  387.57    0.00      6.573     6.084
  387.57    1.00      9.263    10.420
  387.57    2.00      4.461     4.341
  387.57    3.00     -2.308    -3.168
  387.57    4.00      3.426     2.719
  387.57    5.00      1.880     0.743
  387.57    6.00      4.631     4.167
  387.57    7.00      8.501     8.811
  387.57    8.00      9.635    10.712
  387.57    9.00      9.190    10.427
  387.57   10.00     10.919    11.410
  387.57   11.00     12.301    11.457
  387.57   12.00     10.827     8.561
  387.57   13.00     14.118    10.880
  387.57   14.00     12.573     8.819
  387.57   15.00      8.779     4.749
  387.57   16.00     11.714     7.354
  387.57   17.00     10.209     4.483
  387.57   18.00     12.085     4.854
  387.57   19.00     12.045     4.621
  387.57   20.00     11.992     3.945
  387.57   21.00     12.358     2.179
  387.57   22.00     11.755    -0.192
  387.57   23.00     10.524    -1.195
  387.57   24.00      7.649    -1.001
  387.57   25.00      4.333    -0.852
  387.57   26.00      2.783    -0.984
  387.57   27.00      6.733     3.219
  387.57   28.00      8.972     5.529
  387.57   29.00     12.771     8.175
  387.57   30.00     19.288    11.587
  387.57   31.00     18.984     7.626
  387.57   32.00     15.832     3.219
  387.57   33.00     11.255     0.496
  387.57   34.00      4.745    -2.446
  387.57   35.00     -1.106    -3.396
  387.57   36.00    -11.536    -6.317
  387.57   37.00    -25.827    -7.568
  387.57   38.00    -41.027    -5.022
  387.57   39.00    -45.022     2.495
  387.57   40.00    -37.946    14.183
  387.57   41.00    -32.685    24.743
  387.57   42.00    -29.747    32.011
  387.57   43.00    -28.464    26.762
  387.57   44.00    -30.866    14.885
  387.57   45.00    -33.854     3.345
  387.57   46.00    -26.244     3.907
  387.57   47.00    -21.934    -1.023
  387.57   48.00    -10.300     3.109
  387.57   49.00     -3.789     4.218
  387.57   50.00      1.007     6.649
  387.57   51.00      1.132     6.093
  387.57   52.00     -0.725     4.583
  387.57   53.00     -2.501     4.137
  387.57   54.00     -4.296     6.217
  387.57   55.00    -11.588     6.291
  387.57   56.00    -24.222     1.454
  387.57   57.00    -39.204   -10.744
  387.57   58.00    -46.000   -22.226
  387.57   59.00    -46.000   -22.686
  387.57   60.00    -40.878   -16.917
  387.57   61.00    -24.556    -5.068
  387.57   62.00      4.944     7.889
  387.57   63.00     26.903     2.259
  387.57   64.00     27.628   -21.736
  387.57   65.00     23.282   -41.436
  387.57   66.00     13.025   -46.000
  387.57   67.00      2.244   -46.000
  387.57   68.00     -0.473   -33.061
  387.57   69.00      0.307     2.963
  387.57   70.00      5.959    28.513
  387.57   71.00     13.597    27.563
  387.57   72.00     23.160    21.016
  387.57   73.00     33.407    18.574
  387.57   74.00     39.457    19.845
  387.57   75.00     43.687    28.757
  387.57   76.00     41.484    30.683
  387.57   77.00     20.783    11.095
  387.57   78.00      3.634    -2.936
  387.57   79.00     -4.483    -6.104
  387.57   80.00    -13.198   -13.774
  387.57   81.00    -10.379   -15.585
  387.57   82.00     -0.170   -16.392
  387.57   83.00     10.126   -20.086
  387.57   84.00     18.543   -20.578
  387.57   85.00     20.591   -13.839
  387.57   86.00     19.224    -0.033
  387.57   87.00     16.690    11.785
  387.57   88.00     17.585    40.279
  387.57   89.00     18.141    46.000
  387.57   90.00      2.580     2.192

Pressure level 338.466 mbar
pressure latitude  betae(2009)  betae(2011)  
  338.47  -90.00    -46.000    46.000
  338.47  -89.00    -16.476    -5.058
  338.47  -88.00     -8.133    -1.447
  338.47  -87.00    -22.014    13.116
  338.47  -86.00    -10.132    -3.300
  338.47  -85.00    -12.106    -0.804
  338.47  -84.00     -6.771     0.276
  338.47  -83.00    -10.289    -3.633
  338.47  -82.00     -7.013    -2.100
  338.47  -81.00     -3.638    -0.133
  338.47  -80.00     -2.962    -1.360
  338.47  -79.00     -0.024    -0.607
  338.47  -78.00      2.078     0.005
  338.47  -77.00      4.049     0.909
  338.47  -76.00      3.417    -0.878
  338.47  -75.00      1.787    -3.763
  338.47  -74.00      0.379    -2.129
  338.47  -73.00      2.735     5.619
  338.47  -72.00      6.310    12.192
  338.47  -71.00     14.642    20.510
  338.47  -70.00     17.902    21.309
  338.47  -69.00      5.613     6.253
  338.47  -68.00      0.808     0.394
  338.47  -67.00      1.587     1.400
  338.47  -66.00     -2.635    -2.091
  338.47  -65.00     -0.656     0.815
  338.47  -64.00      0.009     1.771
  338.47  -63.00      2.612     3.335
  338.47  -62.00      4.908     4.332
  338.47  -61.00      3.012     2.692
  338.47  -60.00      0.297     1.227
  338.47  -59.00      0.567     3.013
  338.47  -58.00      1.674     5.757
