Cassini CIRS temperature and derived zonal winds  
Latitude is planetocentric, pressure unit is mbar, and wind & uncertainty unit is m/s
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  temperature  wind   wind-uncertainty
  443.78  -73.00    103.799    19.941     1.017
  443.78  -72.00    103.739    41.554     1.358
  443.78  -71.00    103.656    83.674     0.990
  443.78  -70.00    103.642    86.177     0.401
  443.78  -69.00    103.693    43.674     0.424
  443.78  -68.00    103.781    18.206     0.694
  443.78  -67.00    103.870     0.582     0.300
  443.78  -66.00    103.935    -8.451     0.393
  443.78  -65.00    103.956   -13.434     0.376
  443.78  -64.00    103.923   -15.355     1.042
  443.78  -63.00    103.813   -13.018     0.829
  443.78  -62.00    103.823    -8.105     0.469
  443.78  -61.00    103.925    -2.188     0.889
  443.78  -60.00    104.039     6.191     1.330
  443.78  -59.00    104.131    13.852     2.328
  443.78  -58.00    104.190    24.878     2.475
  443.78  -57.00    104.206    83.560     1.962
  443.78  -56.00    104.172   140.444     1.300
  443.78  -55.00    104.093   135.448     0.608
  443.78  -54.00    104.114   113.250     1.146
  443.78  -53.00    104.194    93.621     1.381
  443.78  -52.00    104.385    72.219     1.203
  443.78  -51.00    104.496    51.226     1.385
  443.78  -50.00    104.634    32.688     1.522
  443.78  -49.00    104.868    22.744     0.926
  443.78  -48.00    105.059    21.381     1.543
  443.78  -47.00    105.187    30.558     1.056
  443.78  -46.00    105.305    47.217     1.854
  443.78  -45.00    105.407    71.414     1.084
  443.78  -44.00    105.394   101.830     1.555
  443.78  -43.00    105.243   126.989     1.317
  443.78  -42.00    105.049   130.122     1.429
  443.78  -41.00    104.925    89.864     0.887
  443.78  -40.00    104.929    51.461     0.719
  443.78  -39.00    105.031    22.934     0.918
  443.78  -38.00    105.140     7.835     1.970
  443.78  -37.00    105.189    -2.012     1.410
  443.78  -36.00    105.208    -6.685     0.931
  443.78  -35.00    105.173   -11.517     0.654
  443.78  -34.00    105.118   -12.303     0.921
  443.78  -33.00    105.053    -1.032     2.012
  443.78  -32.00    105.113    18.523     1.233
  443.78  -31.00    105.239    43.513     0.911
  443.78  -30.00    105.269    52.951     2.608
  443.78  -29.00    105.228    62.939     2.619
  443.78  -28.00    105.130    82.328     1.963
  443.78  -27.00    105.036    79.964     1.045
  443.78  -26.00    104.943    63.361     1.073
  443.78  -25.00    104.825    60.926     2.002
  443.78  -24.00    104.794    74.490     2.187
  443.78  -23.00    104.785    95.763     0.675
  443.78  -22.00    104.812   110.086     0.800
  443.78  -21.00    104.877   125.647     1.171
  443.78  -20.00    104.956   136.113     1.825
  443.78  -19.00    104.996   157.463     1.826
  443.78  -18.00    105.011   175.293     4.463
  443.78  -17.00    105.097   203.036     2.815
  443.78  -16.00    105.247   222.571     3.113
  443.78  -15.00    105.342   237.990     3.898
  443.78  -14.00    105.405   252.603     4.573
  443.78  -13.00    105.435   274.275     3.815
  443.78  -12.00    105.371   303.998     7.318
  443.78  -11.00    105.185   332.630     5.898
  443.78  -10.00    104.905   347.264     7.438
  443.78   -9.00    104.507   359.985     5.929
  443.78   -8.00    104.078   363.995    11.166
  443.78   -7.00    103.681   364.844     5.329
  443.78   -6.00    103.316   360.403     4.846
  443.78   -5.00    102.993   351.297     6.566
  443.78   -4.00    102.713   341.714     7.893
  443.78   -3.00    102.443   334.903     7.624
  443.78   -2.00    102.174   336.888     8.561
  443.78   -1.00    101.952   353.412    10.333
  443.78    0.00    101.813   385.725    12.643
  443.78    1.00    101.815   364.532    14.954
  443.78    2.00    101.942   342.912    14.062
  443.78    3.00    102.165   345.131    13.556
  443.78    4.00    102.431   354.828    13.371
  443.78    5.00    102.723   361.828    16.871
  443.78    6.00    103.025   373.973    13.955
  443.78    7.00    103.308   382.013     6.852
  443.78    8.00    103.544   379.046    10.215
  443.78    9.00    103.766   363.528     6.292
  443.78   10.00    103.839   353.327     3.433
  443.78   11.00    103.826   329.182     5.146
  443.78   12.00    103.658   308.386     4.872
  443.78   13.00    103.437   296.850     4.339
  443.78   14.00    103.200   259.071     1.939
  443.78   15.00    102.967   234.429     3.237
  443.78   16.00    102.775   213.961     1.900
  443.78   17.00    102.641   198.359     4.524
  443.78   18.00    102.511   183.637     1.705
  443.78   19.00    102.407   167.604     1.814
  443.78   20.00    102.382   150.960     3.790
  443.78   21.00    102.365   130.019     5.381
  443.78   22.00    102.269   113.028     2.634
  443.78   23.00    102.107    97.646     2.247
  443.78   24.00    101.950    87.354     1.440
  443.78   25.00    101.935    75.794     1.815
  443.78   26.00    101.990    73.178     1.778
  443.78   27.00    102.029    73.724     2.288
  443.78   28.00    102.064    61.267     1.859
  443.78   29.00    102.050    59.031     0.641
  443.78   30.00    101.983    54.007     1.867
  443.78   31.00    101.848    30.528     2.481
  443.78   32.00    101.664     6.007     1.143
  443.78   33.00    101.528   -15.238     1.670
  443.78   34.00    101.434   -21.095     0.827
  443.78   35.00    101.367   -17.279     1.547
  443.78   36.00    101.341    -9.019     1.414
  443.78   37.00    101.356     2.361     0.635
  443.78   38.00    101.436    23.559     1.516
  443.78   39.00    101.616    54.612     1.966
  443.78   40.00    101.921    87.877     1.419
  443.78   41.00    102.305   127.050     1.651
  443.78   42.00    102.622   139.053     1.442
  443.78   43.00    102.837   121.168     1.554
  443.78   44.00    103.021    67.946     0.947
  443.78   45.00    103.203    46.149     0.861
  443.78   46.00    103.377    24.565     0.742
  443.78   47.00    103.516    14.487     0.969
  443.78   48.00    103.597     4.883     0.630
  443.78   49.00    103.593    -1.313     2.384
  443.78   50.00    103.528    -2.555     1.582
  443.78   51.00    103.445     2.261     0.457
  443.78   52.00    103.392    12.540     0.215
