Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  225.45   30.00      8.718     0.068   547.042
  225.45   31.00      8.743     0.140   550.148
  225.45   32.00      8.762     0.206   552.584
  225.45   33.00      8.774     0.249   554.024
  225.45   34.00      8.777     0.261   554.451
  225.45   35.00      8.774     0.238   554.046
  225.45   36.00      8.769     0.190   553.407
  225.45   37.00      8.765     0.119   552.937
  225.45   38.00      8.762     0.030   552.544
  225.45   39.00      8.763    -0.070   552.614
  225.45   40.00      8.761    -0.155   552.468
  225.45   41.00      8.763    -0.197   552.631
  225.45   42.00      8.776    -0.182   554.339
  225.45   43.00      8.797    -0.110   557.011
  225.45   44.00      8.818    -0.019   559.635
  225.45   45.00      8.832     0.049   561.355
  225.45   46.00      8.830     0.082   561.187
  225.45   47.00      8.816     0.099   559.317
  225.45   48.00      8.800     0.095   557.345
  225.45   49.00      8.790     0.086   556.129
  225.45   50.00      8.795     0.072   556.755
  225.45   51.00      8.821     0.059   560.024
  225.45   52.00      8.856     0.039   564.473
  225.45   53.00      8.897     0.007   569.759
  225.45   54.00      8.949    -0.024   576.326
  225.45   55.00      9.004    -0.041   583.499
  225.45   56.00      9.070    -0.047   592.089
  225.45   57.00      9.151    -0.049   602.667
  225.45   58.00      9.243    -0.051   614.921
  225.45   59.00      9.358    -0.054   630.308
  225.45   60.00      9.481    -0.052   646.902
  225.45   61.00      9.577    -0.045   660.067
  225.45   62.00      9.622    -0.040   666.287
  225.45   63.00      9.618    -0.033   665.789
  225.45   64.00      9.582    -0.014   660.774
  225.45   65.00      9.523     0.014   652.655
  225.45   66.00      9.451     0.043   642.809
  225.45   67.00      9.381     0.056   633.328
  225.45   68.00      9.325     0.060   625.778
  225.45   69.00      9.295     0.052   621.811
  225.45   70.00      9.292     0.038   621.379
  225.45   71.00      9.296     0.023   621.889
  225.45   72.00      9.293     0.005   621.540
  225.45   73.00      9.286    -0.022   620.537
  225.45   74.00      9.283    -0.052   620.243
  225.45   75.00      9.296    -0.067   621.936
  225.45   76.00      9.323    -0.053   625.533
  225.45   77.00      9.357    -0.018   630.165
  225.45   78.00      9.391     0.017   634.669
  225.45   79.00      9.418     0.043   638.340
  225.45   80.00      9.443     0.054   641.825
  225.45   81.00      9.464     0.042   644.582
  225.45   82.00      9.478     0.009   646.472
  225.45   83.00      9.492    -0.033   648.393
  225.45   84.00      9.520    -0.070   652.266
  225.45   85.00      9.528    -0.096   653.324
  225.45   86.00      9.535    -0.112   654.331
  225.45   87.00      9.537    -0.112   654.604
  225.45   88.00      9.557    -0.134   657.367
  225.45   89.00      9.520    -0.120   652.341
  225.45   90.00      9.478    -0.003   646.528

Pressure level 196.8947 mbar
pressure latitude       N       dUdz       Ri
  196.89  -90.00     11.789    -0.036  1000.195
  196.89  -89.00     11.677    -0.036   981.399
  196.89  -88.00     11.599    -0.018   968.231
  196.89  -87.00     11.611    -0.048   970.330
  196.89  -86.00     11.585    -0.062   965.946
  196.89  -85.00     11.570    -0.068   963.393
  196.89  -84.00     11.558    -0.052   961.493
  196.89  -83.00     11.552    -0.022   960.369
  196.89  -82.00     11.520     0.004   955.124
  196.89  -81.00     11.499     0.015   951.723
  196.89  -80.00     11.486     0.019   949.480
  196.89  -79.00     11.460     0.021   945.249
  196.89  -78.00     11.417     0.016   938.146
  196.89  -77.00     11.380     0.014   932.118
  196.89  -76.00     11.343     0.012   925.981
  196.89  -75.00     11.297     0.007   918.494
  196.89  -74.00     11.250     0.001   910.955
  196.89  -73.00     11.216     0.004   905.379
  196.89  -72.00     11.176     0.003   898.918
  196.89  -71.00     11.165    -0.000   897.165
  196.89  -70.00     11.157    -0.008   895.947
  196.89  -69.00     11.147    -0.006   894.245
  196.89  -68.00     11.116     0.008   889.293
  196.89  -67.00     11.061     0.026   880.495
  196.89  -66.00     10.988     0.043   868.968
  196.89  -65.00     10.919     0.055   858.008
  196.89  -64.00     10.861     0.064   849.023
  196.89  -63.00     10.813     0.071   841.554
  196.89  -62.00     10.762     0.077   833.559
  196.89  -61.00     10.694     0.083   823.058
  196.89  -60.00     10.612     0.078   810.492
  196.89  -59.00     10.532     0.056   798.383
  196.89  -58.00     10.463     0.020   787.914
  196.89  -57.00     10.413    -0.025   780.436
  196.89  -56.00     10.385    -0.064   776.216
  196.89  -55.00     10.368    -0.074   773.632
  196.89  -54.00     10.339    -0.055   769.364
  196.89  -53.00     10.287    -0.022   761.573
  196.89  -52.00     10.217     0.028   751.346
  196.89  -51.00     10.139     0.089   739.917
  196.89  -50.00     10.042     0.150   725.730
  196.89  -49.00      9.930     0.188   709.674
  196.89  -48.00      9.805     0.180   691.887
  196.89  -47.00      9.682     0.128   674.650
  196.89  -46.00      9.585     0.051   661.237
  196.89  -45.00      9.527    -0.034   653.194
  196.89  -44.00      9.508    -0.107   650.632
  196.89  -43.00      9.522    -0.150   652.549
  196.89  -42.00      9.547    -0.156   655.938
  196.89  -41.00      9.563    -0.127   658.237
  196.89  -40.00      9.558    -0.060   657.500
  196.89  -39.00      9.505     0.012   650.255
  196.89  -38.00      9.410     0.059   637.251
  196.89  -37.00      9.301     0.085   622.648
  196.89  -36.00      9.190     0.109   607.864
  196.89  -35.00      9.085     0.116   594.072
  196.89  -34.00      8.978     0.102   580.090
  196.89  -33.00      8.859     0.071   564.859
  196.89  -32.00      8.752     0.022   551.294
  196.89  -31.00      8.681    -0.034   542.346
  196.89  -30.00      8.641    -0.079   537.392
  196.89  -29.00      8.633    -0.101   536.349
  196.89  -28.00      8.650    -0.097   538.491
  196.89  -27.00      8.671    -0.054   541.071
  196.89  -26.00      8.673     0.031   541.318
  196.89  -25.00      8.647     0.125   538.073
  196.89  -24.00      8.613     0.193   533.905
  196.89  -23.00      8.579     0.246   529.733
  196.89  -22.00      8.552     0.291   526.311
  196.89  -21.00      8.533     0.334   524.071
  196.89  -20.00      8.518     0.386   487.678
  196.89  -19.00      8.513     0.446   364.150
  196.89  -18.00      8.517     0.485   309.024
  196.89  -17.00      8.532     0.463   339.170
  196.89  -16.00      8.555     0.333   526.717
  196.89  -15.00      8.579     0.120   529.746
  196.89  -14.00      8.610    -0.167   533.527
  196.89  -13.00      8.655    -0.527   269.369
  196.89  -12.00      8.709    -0.942    85.408
  196.89  -11.00      8.764    -1.361    41.494
  196.89  -10.00      8.823    -1.731    25.972
  196.89   -9.00      8.891    -2.049    18.827
  196.89   -8.00      8.981    -2.239    15.245
  196.89   -7.00      9.088    -2.239    13.987
  196.89   -6.00      9.210    -2.239    14.365
  196.89   -5.00      9.335    -2.086    20.033
  196.89   -4.00      9.448    -1.482    40.644
  196.89   -3.00      9.536    -0.748   162.394
  196.89   -2.00      9.591     0.084   662.052
  196.89   -1.00      9.610     0.534   324.284
  196.89    0.00      9.591     0.109   662.022
  196.89    1.00      9.531    -0.191   533.544
  196.89    2.00      9.430    -0.764   405.066
  196.89    3.00      9.292    -1.564   276.588
  196.89    4.00      9.126    -2.002   148.109
  196.89    5.00      8.946    -2.019    19.631
  196.89    6.00      8.768    -2.059    18.133
  196.89    7.00      8.605    -1.799    22.885
  196.89    8.00      8.468    -1.433    34.921
  196.89    9.00      8.363    -0.990    71.283
  196.89   10.00      8.294    -0.523   251.855
  196.89   11.00      8.269    -0.107   492.164
  196.89   12.00      8.289     0.253   494.507
  196.89   13.00      8.348     0.536   242.534
  196.89   14.00      8.436     0.738   130.682
  196.89   15.00      8.533     0.832   105.188
  196.89   16.00      8.618     0.812   112.569
  196.89   17.00      8.690     0.728   142.479
  196.89   18.00      8.740     0.590   219.455
  196.89   19.00      8.767     0.471   346.896
  196.89   20.00      8.794     0.384   524.221
  196.89   21.00      8.826     0.329   560.653
  196.89   22.00      8.862     0.297   565.271
  196.89   23.00      8.907     0.263   570.939
  196.89   24.00      8.948     0.216   576.302
  196.89   25.00      8.985     0.158   580.959
  196.89   26.00      9.019     0.099   585.399
  196.89   27.00      9.040     0.047   588.144
  196.89   28.00      9.049     0.026   589.316
  196.89   29.00      9.052     0.033   589.759
  196.89   30.00      9.056     0.078   590.249
  196.89   31.00      9.066     0.156   591.536
  196.89   32.00      9.089     0.227   594.532
  196.89   33.00      9.122     0.275   598.933
  196.89   34.00      9.156     0.288   603.350
  196.89   35.00      9.184     0.260   606.989
  196.89   36.00      9.209     0.208   610.321
  196.89   37.00      9.233     0.134   613.511
  196.89   38.00      9.260     0.042   617.172
  196.89   39.00      9.287    -0.062   620.788
  196.89   40.00      9.295    -0.151   621.807
  196.89   41.00      9.282    -0.195   620.008
  196.89   42.00      9.258    -0.177   616.852
  196.89   43.00      9.239    -0.097   614.399
  196.89   44.00      9.240     0.000   614.471
  196.89   45.00      9.254     0.071   616.383
  196.89   46.00      9.268     0.104   618.159
  196.89   47.00      9.274     0.118   619.054
  196.89   48.00      9.281     0.114   619.961
  196.89   49.00      9.298     0.105   622.160
  196.89   50.00      9.334     0.086   627.035
  196.89   51.00      9.391     0.064   634.665
  196.89   52.00      9.449     0.037   642.610
  196.89   53.00      9.498    -0.000   649.226
  196.89   54.00      9.539    -0.034   654.889
  196.89   55.00      9.581    -0.054   660.624
  196.89   56.00      9.644    -0.063   669.434
  196.89   57.00      9.739    -0.065   682.603
  196.89   58.00      9.849    -0.064   698.136
  196.89   59.00      9.971    -0.068   715.538
  196.89   60.00     10.077    -0.067   730.889
  196.89   61.00     10.136    -0.058   739.401
  196.89   62.00     10.130    -0.045   738.608
  196.89   63.00     10.077    -0.028   730.848
  196.89   64.00     10.019     0.003   722.421
  196.89   65.00      9.985     0.040   717.496
  196.89   66.00      9.961     0.071   714.146
  196.89   67.00      9.946     0.084   711.907
  196.89   68.00      9.930     0.084   709.615
  196.89   69.00      9.917     0.068   707.795
  196.89   70.00      9.911     0.046   707.019
  196.89   71.00      9.900     0.027   705.414
  196.89   72.00      9.877     0.006   702.116
  196.89   73.00      9.840    -0.024   696.855
  196.89   74.00      9.788    -0.056   689.491
  196.89   75.00      9.734    -0.072   681.918
  196.89   76.00      9.694    -0.058   676.384
  196.89   77.00      9.681    -0.024   674.453
  196.89   78.00      9.693     0.010   676.246
  196.89   79.00      9.734     0.034   681.929
  196.89   80.00      9.794     0.044   690.409
  196.89   81.00      9.851     0.033   698.364
  196.89   82.00      9.899     0.004   705.287
  196.89   83.00      9.927    -0.033   709.269
  196.89   84.00      9.932    -0.067   709.921
  196.89   85.00      9.924    -0.097   708.829
  196.89   86.00      9.903    -0.120   705.815
  196.89   87.00      9.865    -0.126   700.452
  196.89   88.00      9.856    -0.162   699.095
  196.89   89.00      9.748    -0.139   683.881
  196.89   90.00      9.631    -0.003   667.526

Pressure level 171.9485 mbar
pressure latitude       N       dUdz       Ri
  171.95  -90.00     11.865    -0.086  1013.197
  171.95  -89.00     11.727    -0.086   989.752
  171.95  -88.00     11.630    -0.043   973.438
  171.95  -87.00     11.644    -0.075   975.826
  171.95  -86.00     11.612    -0.091   970.411
  171.95  -85.00     11.594    -0.098   967.415
  171.95  -84.00     11.580    -0.074   965.111
  171.95  -83.00     11.571    -0.035   963.654
  171.95  -82.00     11.515    -0.001   954.240
  171.95  -81.00     11.463     0.016   945.631
  171.95  -80.00     11.412     0.022   937.284
  171.95  -79.00     11.355     0.024   928.034
  171.95  -78.00     11.294     0.019   917.974
  171.95  -77.00     11.255     0.020   911.666
  171.95  -76.00     11.241     0.019   909.398
  171.95  -75.00     11.237     0.011   908.710
  171.95  -74.00     11.243    -0.004   909.666
  171.95  -73.00     11.261    -0.008   912.709
  171.95  -72.00     11.262    -0.015   912.824
  171.95  -71.00     11.290    -0.020   917.433
  171.95  -70.00     11.312    -0.024   920.971
  171.95  -69.00     11.320    -0.020   922.227
  171.95  -68.00     11.294    -0.007   918.008
  171.95  -67.00     11.235     0.010   908.394
  171.95  -66.00     11.146     0.027   894.056
  171.95  -65.00     11.048     0.042   878.486
  171.95  -64.00     10.953     0.055   863.348
  171.95  -63.00     10.859     0.066   848.670
  171.95  -62.00     10.760     0.073   833.307
  171.95  -61.00     10.646     0.075   815.770
  171.95  -60.00     10.516     0.068   795.947
  171.95  -59.00     10.400     0.045   778.442
  171.95  -58.00     10.326     0.008   767.419
  171.95  -57.00     10.317    -0.035   766.001
  171.95  -56.00     10.368    -0.071   773.691
  171.95  -55.00     10.441    -0.078   784.613
  171.95  -54.00     10.481    -0.058   790.578
  171.95  -53.00     10.462    -0.024   787.794
  171.95  -52.00     10.393     0.021   777.392
  171.95  -51.00     10.286     0.071   761.390
  171.95  -50.00     10.137     0.120   739.536
  171.95  -49.00      9.957     0.149   713.601
  171.95  -48.00      9.762     0.139   685.797
  171.95  -47.00      9.582     0.099   660.853
  171.95  -46.00      9.454     0.043   643.199
  171.95  -45.00      9.398    -0.021   635.640
  171.95  -44.00      9.410    -0.078   637.253
  171.95  -43.00      9.461    -0.110   644.157
  171.95  -42.00      9.520    -0.117   652.324
  171.95  -41.00      9.567    -0.098   658.765
  171.95  -40.00      9.581    -0.049   660.591
  171.95  -39.00      9.533     0.002   654.108
  171.95  -38.00      9.434     0.040   640.479
  171.95  -37.00      9.313     0.066   624.165
  171.95  -36.00      9.180     0.088   606.478
  171.95  -35.00      9.049     0.089   589.385
  171.95  -34.00      8.920     0.068   572.679
  171.95  -33.00      8.790     0.039   556.051
  171.95  -32.00      8.687     0.002   543.178
  171.95  -31.00      8.639    -0.038   537.139
  171.95  -30.00      8.630    -0.072   536.073
  171.95  -29.00      8.658    -0.080   539.547
  171.95  -28.00      8.713    -0.065   546.358
  171.95  -27.00      8.763    -0.025   552.650
  171.95  -26.00      8.781     0.048   554.993
  171.95  -25.00      8.754     0.131   551.493
  171.95  -24.00      8.704     0.198   545.240
  171.95  -23.00      8.646     0.254   538.015
  171.95  -22.00      8.589     0.305   530.884
  171.95  -21.00      8.535     0.355   524.264
  171.95  -20.00      8.481     0.413   421.293
  171.95  -19.00      8.434     0.482   305.903
  171.95  -18.00      8.385     0.528   252.324
  171.95  -17.00      8.337     0.512   265.268
  171.95  -16.00      8.295     0.373   494.736
  171.95  -15.00      8.265     0.148   491.660
  171.95  -14.00      8.258    -0.130   490.807
  171.95  -13.00      8.286    -0.468   312.836
  171.95  -12.00      8.347    -0.870    92.144
  171.95  -11.00      8.437    -1.285    43.117
  171.95  -10.00      8.557    -1.658    26.624
  171.95   -9.00      8.706    -1.963    19.680
  171.95   -8.00      8.885    -2.170    16.757
  171.95   -7.00      9.070    -2.239    16.330
  171.95   -6.00      9.251    -2.187    17.890
  171.95   -5.00      9.412    -1.765    28.453
  171.95   -4.00      9.540    -1.143    69.700
  171.95   -3.00      9.629    -0.422   520.764
  171.95   -2.00      9.681     0.382   641.786
  171.95   -1.00      9.696     0.784   152.789
  171.95    0.00      9.679     0.345   674.178
  171.95    1.00      9.625     0.293   546.256
  171.95    2.00      9.533    -0.193   418.333
  171.95    3.00      9.400    -0.936   290.411
  171.95    4.00      9.230    -1.501   162.489
  171.95    5.00      9.032    -1.536    34.566
  171.95    6.00      8.816    -1.686    27.327
  171.95    7.00      8.596    -1.507    32.534
  171.95    8.00      8.388    -1.222    47.102
  171.95    9.00      8.211    -0.851    93.109
  171.95   10.00      8.084    -0.448   325.443
  171.95   11.00      8.029    -0.078   463.965
  171.95   12.00      8.056     0.250   467.112
  171.95   13.00      8.153     0.512   253.759
  171.95   14.00      8.299     0.708   137.435
  171.95   15.00      8.470     0.805   110.651
  171.95   16.00      8.629     0.790   119.328
  171.95   17.00      8.771     0.709   153.194
  171.95   18.00      8.877     0.579   235.379
  171.95   19.00      8.944     0.476   353.721
  171.95   20.00      8.996     0.405   492.136
  171.95   21.00      9.040     0.360   588.210
  171.95   22.00      9.083     0.327   593.809
  171.95   23.00      9.135     0.288   600.582
  171.95   24.00      9.192     0.231   608.161
  171.95   25.00      9.250     0.168   615.747
  171.95   26.00      9.301     0.110   622.628
  171.95   27.00      9.327     0.065   626.120
  171.95   28.00      9.329     0.050   626.322
  171.95   29.00      9.314     0.060   624.409
  171.95   30.00      9.297     0.104   622.036
  171.95   31.00      9.291     0.181   621.217
  171.95   32.00      9.314     0.250   624.313
  171.95   33.00      9.366     0.295   631.285
  171.95   34.00      9.426     0.301   639.417
  171.95   35.00      9.481     0.264   646.981
  171.95   36.00      9.534     0.206   654.125
  171.95   37.00      9.581     0.132   660.608
  171.95   38.00      9.631     0.039   667.554
  171.95   39.00      9.675    -0.064   673.715
  171.95   40.00      9.689    -0.146   675.627
  171.95   41.00      9.667    -0.182   672.511
  171.95   42.00      9.617    -0.158   665.698
  171.95   43.00      9.572    -0.076   659.457
  171.95   44.00      9.562     0.018   658.009
  171.95   45.00      9.582     0.083   660.832
  171.95   46.00      9.614     0.113   665.276
  171.95   47.00      9.646     0.127   669.710
  171.95   48.00      9.678     0.123   674.126
  171.95   49.00      9.721     0.116   680.158
  171.95   50.00      9.786     0.093   689.203
  171.95   51.00      9.866     0.062   700.538
  171.95   52.00      9.942     0.028   711.409
  171.95   53.00      9.997    -0.012   719.261
  171.95   54.00     10.032    -0.048   724.261
  171.95   55.00     10.063    -0.071   728.737
  171.95   56.00     10.119    -0.085   736.893
  171.95   57.00     10.210    -0.087   750.267
  171.95   58.00     10.313    -0.083   765.488
  171.95   59.00     10.415    -0.084   780.732
  171.95   60.00     10.487    -0.081   791.464
  171.95   61.00     10.506    -0.063   794.386
  171.95   62.00     10.470    -0.038   788.949
  171.95   63.00     10.401    -0.007   778.556
  171.95   64.00     10.349     0.033   770.768
  171.95   65.00     10.349     0.071   770.773
  171.95   66.00     10.372     0.095   774.215
  171.95   67.00     10.398     0.104   778.207
  171.95   68.00     10.410     0.096   779.866
  171.95   69.00     10.405     0.074   779.174
  171.95   70.00     10.393     0.049   777.436
  171.95   71.00     10.368     0.030   773.676
  171.95   72.00     10.331     0.009   768.102
  171.95   73.00     10.276    -0.019   759.918
  171.95   74.00     10.190    -0.045   747.321
  171.95   75.00     10.088    -0.059   732.391
  171.95   76.00      9.997    -0.050   719.275
  171.95   77.00      9.943    -0.023   711.463
  171.95   78.00      9.934     0.002   710.194
  171.95   79.00      9.981     0.019   716.968
  171.95   80.00     10.066     0.025   729.172
  171.95   81.00     10.149     0.018   741.377
  171.95   82.00     10.228    -0.001   752.930
  171.95   83.00     10.269    -0.024   758.958
  171.95   84.00     10.250    -0.047   756.132
  171.95   85.00     10.228    -0.073   752.911
  171.95   86.00     10.181    -0.099   746.019
  171.95   87.00     10.109    -0.110   735.460
  171.95   88.00     10.068    -0.151   729.556
  171.95   89.00      9.907    -0.121   706.438
  171.95   90.00      9.733    -0.003   681.756

Pressure level 150.1636 mbar
pressure latitude       N       dUdz       Ri
  150.16  -90.00     11.773    -0.165   997.619
  150.16  -89.00     11.661    -0.165   978.673
  150.16  -88.00     11.583    -0.084   965.604
  150.16  -87.00     11.597    -0.102   967.863
  150.16  -86.00     11.573    -0.116   963.903
  150.16  -85.00     11.562    -0.122   962.121
  150.16  -84.00     11.554    -0.095   960.795
  150.16  -83.00     11.549    -0.054   959.892
  150.16  -82.00     11.495    -0.017   950.942
  150.16  -81.00     11.435     0.002   941.027
  150.16  -80.00     11.371     0.013   930.627
  150.16  -79.00     11.313     0.018   921.102
  150.16  -78.00     11.266     0.020   913.404
  150.16  -77.00     11.244     0.031   909.944
  150.16  -76.00     11.256     0.040   911.914
  150.16  -75.00     11.282     0.031   916.116
  150.16  -74.00     11.318     0.005   921.882
  150.16  -73.00     11.361    -0.012   929.009
  150.16  -72.00     11.385    -0.029   932.872
  150.16  -71.00     11.427    -0.036   939.706
  150.16  -70.00     11.454    -0.037   944.131
  150.16  -69.00     11.458    -0.032   944.824
  150.16  -68.00     11.423    -0.023   939.176
  150.16  -67.00     11.355    -0.015   927.997
  150.16  -66.00     11.253    -0.005   911.301
  150.16  -65.00     11.130     0.008   891.622
  150.16  -64.00     10.996     0.023   870.277
  150.16  -63.00     10.853     0.037   847.712
  150.16  -62.00     10.702     0.046   824.256
  150.16  -61.00     10.542     0.047   799.831
  150.16  -60.00     10.371     0.042   774.091
  150.16  -59.00     10.230     0.027   753.220
  150.16  -58.00     10.163     0.004   743.327
  150.16  -57.00     10.197    -0.024   748.323
  150.16  -56.00     10.319    -0.049   766.427
  150.16  -55.00     10.466    -0.054   788.309
  150.16  -54.00     10.559    -0.040   802.441
  150.16  -53.00     10.568    -0.015   803.810
  150.16  -52.00     10.501     0.015   793.614
  150.16  -51.00     10.374     0.044   774.618
  150.16  -50.00     10.195     0.072   748.052
  150.16  -49.00      9.977     0.087   716.380
  150.16  -48.00      9.744     0.075   683.350
  150.16  -47.00      9.539     0.050   654.940
  150.16  -46.00      9.397     0.024   635.593
  150.16  -45.00      9.346    -0.008   628.607
  150.16  -44.00      9.373    -0.039   632.219
  150.16  -43.00      9.433    -0.058   640.356
  150.16  -42.00      9.493    -0.066   648.577
  150.16  -41.00      9.534    -0.058   654.136
  150.16  -40.00      9.535    -0.032   654.317
  150.16  -39.00      9.482    -0.007   647.042
  150.16  -38.00      9.387     0.017   634.197
  150.16  -37.00      9.277     0.039   619.393
  150.16  -36.00      9.156     0.055   603.393
  150.16  -35.00      9.039     0.052   587.997
  150.16  -34.00      8.926     0.033   573.410
  150.16  -33.00      8.819     0.011   559.716
  150.16  -32.00      8.743    -0.006   550.204
  150.16  -31.00      8.721    -0.026   547.414
  150.16  -30.00      8.736    -0.045   549.280
  150.16  -29.00      8.784    -0.039   555.330
  150.16  -28.00      8.853    -0.017   564.073
  150.16  -27.00      8.911     0.014   571.489
  150.16  -26.00      8.933     0.062   574.294
  150.16  -25.00      8.902     0.124   570.383
  150.16  -24.00      8.843     0.184   562.800
  150.16  -23.00      8.772     0.241   553.849
  150.16  -22.00      8.696     0.296   544.253
  150.16  -21.00      8.615     0.348   534.196
  150.16  -20.00      8.530     0.407   438.461
  150.16  -19.00      8.442     0.475   315.705
  150.16  -18.00      8.340     0.517   260.613
  150.16  -17.00      8.225     0.502   268.821
  150.16  -16.00      8.108     0.363   473.185
  150.16  -15.00      8.008     0.142   461.587
  150.16  -14.00      7.944    -0.108   454.193
  150.16  -13.00      7.930    -0.401   391.816
  150.16  -12.00      7.969    -0.756   111.087
  150.16  -11.00      8.069    -1.131    50.880
  150.16  -10.00      8.225    -1.470    31.304
  150.16   -9.00      8.432    -1.726    23.873
  150.16   -8.00      8.674    -1.870    21.517
  150.16   -7.00      8.911    -1.893    22.167
  150.16   -6.00      9.128    -1.812    25.377
  150.16   -5.00      9.305    -1.398    44.301
  150.16   -4.00      9.434    -0.864   119.119
  150.16   -3.00      9.518    -0.255   652.042
  150.16   -2.00      9.563     0.442   468.396
  150.16   -1.00      9.577     0.798   144.193
  150.16    0.00      9.564     0.423   511.852
  150.16    1.00      9.525     0.603   426.973
  150.16    2.00      9.454     0.248   342.095
  150.16    3.00      9.346    -0.345   257.216
  150.16    4.00      9.199    -0.956   172.338
  150.16    5.00      9.015    -0.964    87.460
  150.16    6.00      8.797    -1.180    55.553
  150.16    7.00      8.557    -1.081    62.682
  150.16    8.00      8.315    -0.894    86.574
  150.16    9.00      8.103    -0.625   167.982
  150.16   10.00      7.949    -0.324   454.725
  150.16   11.00      7.884    -0.033   447.400
  150.16   12.00      7.923     0.232   451.823
  150.16   13.00      8.045     0.444   328.021
  150.16   14.00      8.222     0.617   177.704
  150.16   15.00      8.435     0.713   140.120
  150.16   16.00      8.638     0.708   148.679
  150.16   17.00      8.823     0.644   187.476
  150.16   18.00      8.969     0.537   278.455
  150.16   19.00      9.067     0.461   387.011
  150.16   20.00      9.136     0.413   489.632
  150.16   21.00      9.189     0.379   589.373
  150.16   22.00      9.236     0.348   613.965
  150.16   23.00      9.291     0.305   621.327
  150.16   24.00      9.360     0.242   630.466
  150.16   25.00      9.432     0.177   640.310
  150.16   26.00      9.497     0.125   649.094
  150.16   27.00      9.530     0.092   653.605
  150.16   28.00      9.532     0.087   653.864
  150.16   29.00      9.511     0.102   651.015
  150.16   30.00      9.482     0.145   647.098
  150.16   31.00      9.466     0.215   644.868
  150.16   32.00      9.486     0.275   647.604
  150.16   33.00      9.545     0.312   655.740
  150.16   34.00      9.619     0.306   665.914
  150.16   35.00      9.691     0.257   675.859
  150.16   36.00      9.759     0.192   685.407
  150.16   37.00      9.819     0.117   693.894
  150.16   38.00      9.881     0.026   702.702
  150.16   39.00      9.935    -0.070   710.337
  150.16   40.00      9.957    -0.139   713.468
  150.16   41.00      9.939    -0.160   710.961
  150.16   42.00      9.887    -0.128   703.559
  150.16   43.00      9.837    -0.049   696.448
  150.16   44.00      9.828     0.030   695.117
  150.16   45.00      9.857     0.084   699.316
  150.16   46.00      9.906     0.110   706.273
  150.16   47.00      9.959     0.125   713.753
  150.16   48.00     10.008     0.124   720.927
  150.16   49.00     10.069     0.118   729.710
  150.16   50.00     10.150     0.092   741.416
  150.16   51.00     10.241     0.053   754.848
  150.16   52.00     10.327     0.014   767.580
  150.16   53.00     10.387    -0.027   776.525
  150.16   54.00     10.421    -0.064   781.561
  150.16   55.00     10.447    -0.090   785.547
  150.16   56.00     10.493    -0.109   792.479
  150.16   57.00     10.568    -0.110   803.854
  150.16   58.00     10.647    -0.101   815.914
  150.16   59.00     10.716    -0.098   826.387
  150.16   60.00     10.747    -0.089   831.228
  150.16   61.00     10.734    -0.062   829.227
  150.16   62.00     10.686    -0.024   821.867
  150.16   63.00     10.628     0.019   812.948
  150.16   64.00     10.603     0.065   809.152
  150.16   65.00     10.640     0.098   814.799
  150.16   66.00     10.701     0.112   824.212
  150.16   67.00     10.758     0.112   832.960
  150.16   68.00     10.788     0.096   837.568
  150.16   69.00     10.790     0.070   837.955
  150.16   70.00     10.779     0.046   836.128
  150.16   71.00     10.752     0.031   831.963
  150.16   72.00     10.716     0.014   826.491
  150.16   73.00     10.665    -0.006   818.676
  150.16   74.00     10.580    -0.024   805.582
  150.16   75.00     10.470    -0.033   788.994
  150.16   76.00     10.368    -0.029   773.674
  150.16   77.00     10.302    -0.015   763.770
  150.16   78.00     10.283    -0.004   760.983
  150.16   79.00     10.329     0.001   767.778
  150.16   80.00     10.416     0.001   780.876
  150.16   81.00     10.507    -0.002   794.489
  150.16   82.00     10.595    -0.006   807.870
  150.16   83.00     10.637    -0.008   814.251
  150.16   84.00     10.599    -0.012   808.550
  150.16   85.00     10.570    -0.027   804.088
  150.16   86.00     10.511    -0.048   795.213
  150.16   87.00     10.427    -0.060   782.459
  150.16   88.00     10.370    -0.093   773.884
  150.16   89.00     10.202    -0.061   749.105
  150.16   90.00     10.019    -0.002   722.392

Pressure level 131.1449 mbar
pressure latitude       N       dUdz       Ri
  131.14  -90.00     11.822    -0.253  1005.880
  131.14  -89.00     11.783    -0.253   999.202
  131.14  -88.00     11.762    -0.129   995.650
  131.14  -87.00     11.772    -0.122   997.301
  131.14  -86.00     11.769    -0.128   996.930
  131.14  -85.00     11.773    -0.131   997.481
  131.14  -84.00     11.775    -0.105   997.922
  131.14  -83.00     11.776    -0.071   997.989
  131.14  -82.00     11.744    -0.039   992.622
  131.14  -81.00     11.696    -0.019   984.559
  131.14  -80.00     11.642    -0.004   975.511
  131.14  -79.00     11.604     0.008   969.149
  131.14  -78.00     11.591     0.023   966.944
  131.14  -77.00     11.591     0.046   966.916
  131.14  -76.00     11.610     0.064   970.122
  131.14  -75.00     11.630     0.056   973.409
  131.14  -74.00     11.645     0.020   975.902
  131.14  -73.00     11.662    -0.009   978.847
  131.14  -72.00     11.676    -0.035   981.150
  131.14  -71.00     11.693    -0.044   984.039
