Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  508.14   90.00      3.436     0.002    84.990

Pressure level 443.7832 mbar
pressure latitude       N       dUdz       Ri
  443.78  -90.00      6.679    -0.073   321.089
  443.78  -89.00      6.718    -0.073   324.829
  443.78  -88.00      6.749    -0.039   327.811
  443.78  -87.00      6.754    -0.151   328.258
  443.78  -86.00      6.773    -0.065   330.170
  443.78  -85.00      6.792    -0.089   332.011
  443.78  -84.00      6.807    -0.066   333.439
  443.78  -83.00      6.814    -0.050   334.150
  443.78  -82.00      6.814    -0.029   334.188
  443.78  -81.00      6.783    -0.015   331.095
  443.78  -80.00      6.728    -0.001   325.796
  443.78  -79.00      6.659     0.012   319.149
  443.78  -78.00      6.593     0.026   312.825
  443.78  -77.00      6.535     0.036   307.391
  443.78  -76.00      6.513     0.042   305.251
  443.78  -75.00      6.527     0.043   306.618
  443.78  -74.00      6.568     0.033   310.437
  443.78  -73.00      6.614     0.013   314.863
  443.78  -72.00      6.663     0.002   319.484
  443.78  -71.00      6.685    -0.001   321.608
  443.78  -70.00      6.689     0.004   322.010
  443.78  -69.00      6.669     0.012   320.050
  443.78  -68.00      6.639     0.013   317.178
  443.78  -67.00      6.621     0.002   315.484
  443.78  -66.00      6.626    -0.016   316.015
  443.78  -65.00      6.661    -0.036   319.320
  443.78  -64.00      6.724    -0.047   325.400
  443.78  -63.00      6.810    -0.036   333.802
  443.78  -62.00      6.900    -0.012   342.672
  443.78  -61.00      6.971     0.007   349.747
  443.78  -60.00      7.025     0.021   355.170
  443.78  -59.00      7.039     0.030   356.575
  443.78  -58.00      7.021     0.030   354.775
  443.78  -57.00      6.970     0.026   349.652
  443.78  -56.00      6.897     0.024   342.373
  443.78  -55.00      6.821     0.032   334.881
  443.78  -54.00      6.764     0.053   329.247
  443.78  -53.00      6.739     0.074   326.803
  443.78  -52.00      6.745     0.075   327.395
  443.78  -51.00      6.750     0.067   327.925
  443.78  -50.00      6.759     0.069   328.793
  443.78  -49.00      6.766     0.058   329.430
  443.78  -48.00      6.777     0.033   330.505
  443.78  -47.00      6.786     0.013   331.390
  443.78  -46.00      6.781     0.001   330.942
  443.78  -45.00      6.751    -0.011   328.025
  443.78  -44.00      6.687    -0.020   321.816
  443.78  -43.00      6.596    -0.020   313.129
  443.78  -42.00      6.510    -0.013   305.045
  443.78  -41.00      6.451    -0.002   299.515
